Nested Sampling Global Log-Evidence           :   -0.424897729830386288E+04  +/-    0.107244228961889232E+00
Nested Importance Sampling Global Log-Evidence:   -0.424831800806483807E+04  +/-    0.150392340091801496E+00

Dim No.       Mean        Sigma
   1    0.105110424388775003E+01    0.490340007090625616E-02
   2    0.267499706421863603E+01    0.786116893554910101E-01
   3    0.103287167021889683E+02    0.420641280323705458E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.104964553878020506E+01
   2    0.269256999124891205E+01
   3    0.104360321067494120E+02

MAP Parameters
Dim No.        Parameter
   1    0.105300749634993851E+01
   2    0.269433985896400152E+01
   3    0.103222649237574799E+02
