Nested Sampling Global Log-Evidence           :   -0.792369106894896191E+01  +/-    0.740849898876736884E-01
Nested Importance Sampling Global Log-Evidence:   -0.739027820182052952E+01  +/-    0.483432251282000583E-01

Dim No.       Mean        Sigma
   1    0.100302277870681200E+01    0.310040809501595620E-01
   2    0.120302907949356874E+01    0.569588206813712805E+00
   3    0.123699820788047390E+02    0.685442095998688838E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.991243246216668594E+00
   2    0.761485853172226612E+00
   3    0.526878535204165122E+01

MAP Parameters
Dim No.        Parameter
   1    0.104963618407409887E+01
   2    0.930206270599298057E+00
   3    0.104125961513712362E+02
