Nested Sampling Global Log-Evidence           :   -0.679077423389688192E+04  +/-    0.146771617542594213E+00
Nested Importance Sampling Global Log-Evidence:   -0.679088824793991262E+04  +/-    0.127598256577612437E-01

Dim No.       Mean        Sigma
   1    0.991636159698513042E+00    0.133534790805225163E-03
   2    0.722056061447866160E+00    0.128024541907239306E-02
   3    0.460133952744079000E+01    0.316346781339850239E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.991627058127045657E+00
   2    0.721971304360389698E+00
   3    0.459890452751619172E+01

MAP Parameters
Dim No.        Parameter
   1    0.991431491597484116E+00
   2    0.722435080659624695E+00
   3    0.460529338494049512E+01
