Nested Sampling Global Log-Evidence           :   -0.377414985941581307E+02  +/-    0.764471115234706261E-01
Nested Importance Sampling Global Log-Evidence:   -0.371298688711612641E+02  +/-    0.667175937403336333E-01

Dim No.       Mean        Sigma
   1    0.101931660399375668E+01    0.207980030861668989E-01
   2    0.107279453747813269E+01    0.126113375806397005E+00
   3    0.101493024229215134E+02    0.933275666810145510E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.101846226400636675E+01
   2    0.109967709514224943E+01
   3    0.100948674831242862E+02

MAP Parameters
Dim No.        Parameter
   1    0.100017934461176417E+01
   2    0.123765349410374714E+01
   3    0.102035973623949392E+02
