Nested Sampling Global Log-Evidence           :   -0.191904578018626637E+02  +/-    0.905341055269715395E-01
Nested Importance Sampling Global Log-Evidence:   -0.190029841010540927E+02  +/-    0.109496487990143207E+00

Dim No.       Mean        Sigma
   1    0.999044829517060973E+00    0.151209974711211340E-01
   2    0.107808732831170340E+01    0.164188306666673833E+00
   3    0.643243725900060159E+01    0.247966313221064416E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100042660535782346E+01
   2    0.108038582545698447E+01
   3    0.603901421445269992E+01

MAP Parameters
Dim No.        Parameter
   1    0.100998372188594199E+01
   2    0.855493635093611315E+00
   3    0.337562330120291376E+01
