Nested Sampling Global Log-Evidence           :   -0.174307955433415245E+02  +/-    0.788336122253597560E-01
Nested Importance Sampling Global Log-Evidence:   -0.168199783704750061E+02  +/-    0.158204818879081277E+00

Dim No.       Mean        Sigma
   1    0.984040117919544932E+00    0.388561561760377219E-01
   2    0.163537137212445671E+01    0.461380141867379689E+00
   3    0.871652144153840069E+01    0.815734317951053534E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.987066302062132972E+00
   2    0.149183400090482943E+01
   3    0.498789841546042823E+01

MAP Parameters
Dim No.        Parameter
   1    0.101810232943116241E+01
   2    0.197056420307336744E+01
   3    0.101687613959006118E+02
