Nested Sampling Global Log-Evidence           :   -0.135578018859099575E+04  +/-    0.137676878281475179E+00
Nested Importance Sampling Global Log-Evidence:   -0.135503080939702932E+04  +/-    0.124914340337301172E+00

Dim No.       Mean        Sigma
   1    0.992100713049531291E+00    0.556673755356241898E-03
   2    0.147632069294177359E+01    0.101692649042734277E-01
   3    0.487723121083104161E+01    0.120048902702456065E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.992408728702855347E+00
   2    0.147912366763044134E+01
   3    0.489463218987863335E+01

MAP Parameters
Dim No.        Parameter
   1    0.991371587573407931E+00
   2    0.147717427693201953E+01
   3    0.487389364321614593E+01
