Nested Sampling Global Log-Evidence           :   -0.543288228747729374E+01  +/-    0.452819628961414616E-01
Nested Importance Sampling Global Log-Evidence:   -0.524773763411657335E+01  +/-    0.330943833253651357E-01

Dim No.       Mean        Sigma
   1    0.100822022586596960E+01    0.580331000206931041E-01
   2    0.216539698683306892E+01    0.116588462959741412E+01
   3    0.134662456247082041E+02    0.710694165937482936E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.990075834142475908E+00
   2    0.149745572018515993E+01
   3    0.476384094300946614E+01

MAP Parameters
Dim No.        Parameter
   1    0.101807469701197184E+01
   2    0.455153312478450722E+01
   3    0.196155390329029693E+02
