Nested Sampling Global Log-Evidence           :   -0.188944641122208559E+02  +/-    0.870555340735877647E-01
Nested Importance Sampling Global Log-Evidence:   -0.186434706331129973E+02  +/-    0.743099643981052771E-01

Dim No.       Mean        Sigma
   1    0.103348560000833434E+01    0.170072395591142379E-01
   2    0.178661107312917933E+01    0.238690560739961838E+00
   3    0.692917646578408597E+01    0.248992511675146400E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.103403105162412734E+01
   2    0.181071968168000286E+01
   3    0.692039318491139799E+01

MAP Parameters
Dim No.        Parameter
   1    0.100732632087421092E+01
   2    0.176816329382394755E+01
   3    0.801518484637608353E+01
