Nested Sampling Global Log-Evidence           :   -0.165800761257174898E+02  +/-    0.753536501921949764E-01
Nested Importance Sampling Global Log-Evidence:   -0.157467886495044933E+02  +/-    0.134668102691978403E+00

Dim No.       Mean        Sigma
   1    0.103533245106769600E+01    0.179425963673865360E-01
   2    0.220214902536879276E+01    0.607131911759582921E+00
   3    0.100910849848197266E+02    0.455067282406005713E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.103642975633205925E+01
   2    0.195755434486461311E+01
   3    0.798986821348345266E+01

MAP Parameters
Dim No.        Parameter
   1    0.103907022154153639E+01
   2    0.279863743975761592E+01
   3    0.133300005504139865E+02
