Nested Sampling Global Log-Evidence           :   -0.613944814155595875E+01  +/-    0.656985165245130565E-01
Nested Importance Sampling Global Log-Evidence:   -0.566339593061082169E+01  +/-    0.523025086085758401E-01

Dim No.       Mean        Sigma
   1    0.101114798695629182E+01    0.451181726540966638E-01
   2    0.127853066024127116E+01    0.532250413829133628E+00
   3    0.155383010434590680E+02    0.615410463566173327E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100478405377774149E+01
   2    0.106890137086384884E+01
   3    0.102926425650062860E+02

MAP Parameters
Dim No.        Parameter
   1    0.103273136136476062E+01
   2    0.201733655078683638E+01
   3    0.183925752637822733E+02
