Nested Sampling Global Log-Evidence           :   -0.417196020997732191E+02  +/-    0.855205002346435400E-01
Nested Importance Sampling Global Log-Evidence:   -0.408877465825199025E+02  +/-    0.153311227757220891E+00

Dim No.       Mean        Sigma
   1    0.101731684910045073E+01    0.169755378262634871E-01
   2    0.102270043200857508E+01    0.152932334265245468E+00
   3    0.102885841653905850E+02    0.221484598393520926E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.101811772381974164E+01
   2    0.100458830754379158E+01
   3    0.962587908039173712E+01

MAP Parameters
Dim No.        Parameter
   1    0.101242609740822065E+01
   2    0.828479066259022567E+00
   3    0.659075471057989404E+01
