Nested Sampling Global Log-Evidence           :   -0.702892637774259725E+02  +/-    0.837007678326755489E-01
Nested Importance Sampling Global Log-Evidence:   -0.697152443576426180E+02  +/-    0.878232393957829732E-01

Dim No.       Mean        Sigma
   1    0.101912391700422367E+01    0.203455475267836222E-01
   2    0.961037558311723328E+00    0.166723996185069001E+00
   3    0.973004583881275487E+01    0.242700361778678264E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.102183674695061866E+01
   2    0.946834864089230566E+00
   3    0.884099116333683277E+01

MAP Parameters
Dim No.        Parameter
   1    0.102399399752203735E+01
   2    0.754182383205232010E+00
   3    0.858452655099692663E+01
