Nested Sampling Global Log-Evidence           :   -0.137457357045572252E+03  +/-    0.864531364497232724E-01
Nested Importance Sampling Global Log-Evidence:   -0.136920051678702947E+03  +/-    0.124178869813697801E+00

Dim No.       Mean        Sigma
   1    0.103913401260303595E+01    0.128578556759970548E-01
   2    0.935953831838116090E+00    0.165316262774757500E+00
   3    0.194798681213305036E+01    0.158844813204631508E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.103880729975226438E+01
   2    0.923555725558553031E+00
   3    0.192713012864151767E+00

MAP Parameters
Dim No.        Parameter
   1    0.104664856116257821E+01
   2    0.886316554647239241E+00
   3    0.308440550298842675E+01
