Nested Sampling Global Log-Evidence           :   -0.241785944978167663E+03  +/-    0.614637382629558138E-01
Nested Importance Sampling Global Log-Evidence:   -0.241985186491223914E+03  +/-    0.567564029742919710E-01

Dim No.       Mean        Sigma
   1    0.102513917433144219E+01    0.218845471257905974E-01
   2    0.178689475653624363E+00    0.138429616896047580E+01
   3    0.133267284374943090E+00    0.171396585944859203E+01
   4    0.497320845750147722E+01    0.209927877762315029E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.102870919563450047E+01
   2    0.235236925767714666E+01
   3    0.145769496958968681E+00
   4    0.475453106932389424E+01

MAP Parameters
Dim No.        Parameter
   1    0.104352134013491038E+01
   2    0.111348235615916114E+01
   3    0.270463474346587240E+00
   4    0.742864954126910604E+01
