Nested Sampling Global Log-Evidence           :   -0.375882265346943268E+04  +/-    0.104752094186542105E+00
Nested Importance Sampling Global Log-Evidence:   -0.375763471024930232E+04  +/-    0.137788204469090847E+00

Dim No.       Mean        Sigma
   1    0.976179497893138848E+00    0.811769858764836427E-01
   2    0.550811654589220619E-03    0.503924279010279177E-03
   3    0.109153131733565978E+02    0.638405415795612363E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.818165332787682331E+00
   2    0.258987588929132361E-06
   3    0.203189927794786662E+02

MAP Parameters
Dim No.        Parameter
   1    0.102711967467408405E+01
   2    0.632602319871206575E-03
   3    0.114476157961876872E+02
