Nested Sampling Global Log-Evidence           :   -0.155082261864710517E+03  +/-    0.868031007486643191E-01
Nested Importance Sampling Global Log-Evidence:   -0.155012751184295951E+03  +/-    0.142005533247336641E+00

Dim No.       Mean        Sigma
   1    0.102129301718303100E+01    0.236013658015286135E-01
   2    0.229834574881098552E+01    0.175342308285498572E+01
   3    0.249567818351323512E+01    0.199603104885319227E+01
   4    0.121700156563295181E+02    0.171434848936252449E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.102413026526466733E+01
   2    0.163315820545884915E+01
   3    0.206934540947184775E+01
   4    0.114752163713644748E+02

MAP Parameters
Dim No.        Parameter
   1    0.993275466010772434E+00
   2    0.110510146831879186E+01
   3    0.238113059736244193E+01
   4    0.124720034570120397E+02
