Nested Sampling Global Log-Evidence           :   -0.803160833950507140E+03  +/-    0.923547494731003088E-01
Nested Importance Sampling Global Log-Evidence:   -0.803219362515578041E+03  +/-    0.171747155496012577E+00

Dim No.       Mean        Sigma
   1    0.102475517768646407E+01    0.641976221903537130E-02
   2    0.276788181292502022E+01    0.921117592189632184E+01
   3   -0.152785159708734380E+00    0.120479061647754371E+01
   4    0.123694445910060158E+01    0.105317933228071614E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.102480401423076706E+01
   2   -0.912579314405583375E+00
   3   -0.190457205683781883E+01
   4    0.326785272826781645E-01

MAP Parameters
Dim No.        Parameter
   1    0.103192222340592576E+01
   2   -0.435733973505163164E+01
   3   -0.423940758578757126E+00
   4    0.154742547696035193E+01
