Nested Sampling Global Log-Evidence           :   -0.103497118966412884E+03  +/-    0.731137343099036163E-01
Nested Importance Sampling Global Log-Evidence:   -0.103690889403878572E+03  +/-    0.942986497386955752E-01

Dim No.       Mean        Sigma
   1    0.980613467166042252E+00    0.269672678507645869E-01
   2    0.468588620616403717E+00    0.165028200431666008E+02
   3   -0.492224191885912501E-01    0.178302424651902758E+01
   4    0.148016981911065972E+02    0.280984337423368746E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.972335180811605082E+00
   2    0.180884802201497763E+01
   3   -0.944140193680476081E+00
   4    0.131737671312697735E+02

MAP Parameters
Dim No.        Parameter
   1    0.984015670933275022E+00
   2    0.348025644270439471E+02
   3   -0.551009339097641160E-01
   4    0.167165037799395293E+02
